team,number,name
埼玉西部ライオンズ,52,山田　遥楓
埼玉西部ライオンズ,56,川野　涼多
埼玉西部ライオンズ,59,森越　祐人
埼玉西部ライオンズ,60,中村　剛也
埼玉西部ライオンズ,63,綱島　龍生
埼玉西部ライオンズ,99,メヒア
埼玉西部ライオンズ,1,栗山　巧
埼玉西部ライオンズ,7,金子　侑司
埼玉西部ライオンズ,9,木村　文紀
埼玉西部ライオンズ,22,スパンジェンバーグ
埼玉西部ライオンズ,46,鈴木　将平
埼玉西部ライオンズ,51,西川　愛也
埼玉西部ライオンズ,53,愛斗
埼玉西部ライオンズ,58,熊代　聖人
埼玉西部ライオンズ,65,戸川　大輔
埼玉西部ライオンズ,68,岸　潤一郎
埼玉西部ライオンズ,72,川越　誠司
埼玉西部ライオンズ,73,高木　渉
埼玉西部ライオンズ,120,出井　敏博
埼玉西部ライオンズ,123,髙橋　朋己
埼玉西部ライオンズ,125,東野　葵
埼玉西部ライオンズ,126,大窪　士夢
埼玉西部ライオンズ,127,中熊　大智
福岡ソフトバンクホークス,2,Ｃ．スチュワート・ジュニア
福岡ソフトバンクホークス,10,大竹　耕太郎
福岡ソフトバンクホークス,11,津森　宥紀
福岡ソフトバンクホークス,13,二保　旭
福岡ソフトバンクホークス,14,加治屋　蓮
福岡ソフトバンクホークス,16,東浜　巨
福岡ソフトバンクホークス,17,岩嵜　翔
福岡ソフトバンクホークス,18,武田　翔太
福岡ソフトバンクホークス,20,甲斐野　央
福岡ソフトバンクホークス,21,和田　毅
福岡ソフトバンクホークス,25,田中　正義
福岡ソフトバンクホークス,26,吉住　晴斗
福岡ソフトバンクホークス,28,高橋　礼
福岡ソフトバンクホークス,29,石川　柊太
福岡ソフトバンクホークス,34,椎野　新
福岡ソフトバンクホークス,35,モイネロ
福岡ソフトバンクホークス,37,ムーア
福岡ソフトバンクホークス,38,森　唯斗
福岡ソフトバンクホークス,39,尾形　崇斗
福岡ソフトバンクホークス,40,杉山　一樹
福岡ソフトバンクホークス,41,千賀　滉大
福岡ソフトバンクホークス,42,松田　遼馬
福岡ソフトバンクホークス,44,バンデンハーク
福岡ソフトバンクホークス,47,髙橋　純平
福岡ソフトバンクホークス,49,古谷　優人
福岡ソフトバンクホークス,50,板東　湧梧
福岡ソフトバンクホークス,53,泉　圭輔
福岡ソフトバンクホークス,56,田浦　文丸
福岡ソフトバンクホークス,57,嘉弥真　新也
福岡ソフトバンクホークス,58,サファテ
福岡ソフトバンクホークス,61,奥村　政稔
福岡ソフトバンクホークス,63,川原　弘之
福岡ソフトバンクホークス,66,松本　裕樹
福岡ソフトバンクホークス,67,笠谷　俊介
福岡ソフトバンクホークス,12,髙谷　裕亮
福岡ソフトバンクホークス,19,甲斐　拓也
福岡ソフトバンクホークス,31,栗原　陵矢
福岡ソフトバンクホークス,45,谷川原　健太
福岡ソフトバンクホークス,62,海野　隆司
福岡ソフトバンクホークス,65,九鬼　隆平
福岡ソフトバンクホークス,00,川瀬　晃
福岡ソフトバンクホークス,0,髙田　知季
福岡ソフトバンクホークス,1,内川　聖一
福岡ソフトバンクホークス,5,松田　宣浩
福岡ソフトバンクホークス,6,今宮　健太
福岡ソフトバンクホークス,8,明石　健志
福岡ソフトバンクホークス,22,西田　哲朗
福岡ソフトバンクホークス,23,周東　佑京
福岡ソフトバンクホークス,27,グラシアル
福岡ソフトバンクホークス,33,増田　珠
福岡ソフトバンクホークス,36,牧原　大成
福岡ソフトバンクホークス,52,リチャード
福岡ソフトバンクホークス,55,野村　大樹
福岡ソフトバンクホークス,68,三森　大貴
福岡ソフトバンクホークス,69,小林　珠維
福岡ソフトバンクホークス,99,川島　慶三
福岡ソフトバンクホークス,4,バレンティン
福岡ソフトバンクホークス,7,中村　晃
福岡ソフトバンクホークス,9,柳田　悠岐
福岡ソフトバンクホークス,24,長谷川　勇也
福岡ソフトバンクホークス,30,佐藤　直樹
福岡ソフトバンクホークス,32,柳町　達
福岡ソフトバンクホークス,51,上林　誠知
福岡ソフトバンクホークス,54,デスパイネ
福岡ソフトバンクホークス,59,水谷　瞬
福岡ソフトバンクホークス,60,釜元　豪
福岡ソフトバンクホークス,64,真砂　勇介
福岡ソフトバンクホークス,122,大関　友久
福岡ソフトバンクホークス,123,小澤　怜史
福岡ソフトバンクホークス,129,野澤　佑斗
福岡ソフトバンクホークス,133,岡本　直也
福岡ソフトバンクホークス,137,渡辺　健史
福岡ソフトバンクホークス,138,重田　倫明
福岡ソフトバンクホークス,140,渡邉　雄大
福岡ソフトバンクホークス,143,村上　舜
福岡ソフトバンクホークス,121,石塚　綜一郎
福岡ソフトバンクホークス,132,渡邉　陸
福岡ソフトバンクホークス,144,堀内　汰門
福岡ソフトバンクホークス,124,古澤　勝吾
福岡ソフトバンクホークス,126,黒瀬　健太
福岡ソフトバンクホークス,128,伊藤　大将
福岡ソフトバンクホークス,130,勝連　大稀
福岡ソフトバンクホークス,136,荒木　翔太
福岡ソフトバンクホークス,125,大本　将吾
福岡ソフトバンクホークス,131,舟越　秀虎
福岡ソフトバンクホークス,135,田城　飛翔
福岡ソフトバンクホークス,139,日暮　矢麻人
福岡ソフトバンクホークス,141,清水　陸哉
福岡ソフトバンクホークス,142,中村　宜聖
東北楽天ゴールデンイーグルス,1,松井　裕樹
東北楽天ゴールデンイーグルス,11,岸　孝之
東北楽天ゴールデンイーグルス,12,近藤　弘樹
東北楽天ゴールデンイーグルス,13,森原　康平
東北楽天ゴールデンイーグルス,14,則本　昂大
東北楽天ゴールデンイーグルス,15,Ｊ．Ｔ．シャギワ
東北楽天ゴールデンイーグルス,16,涌井　秀章
東北楽天ゴールデンイーグルス,17,塩見　貴洋
東北楽天ゴールデンイーグルス,19,藤平　尚真
東北楽天ゴールデンイーグルス,20,安樂　智大
東北楽天ゴールデンイーグルス,21,釜田　佳直
東北楽天ゴールデンイーグルス,22,牧田　和久
東北楽天ゴールデンイーグルス,23,弓削　隼人
東北楽天ゴールデンイーグルス,28,酒居　知史
東北楽天ゴールデンイーグルス,31,福井　優也
東北楽天ゴールデンイーグルス,32,ブセニッツ
東北楽天ゴールデンイーグルス,39,引地　秀一郎
東北楽天ゴールデンイーグルス,41,青山　浩二
東北楽天ゴールデンイーグルス,43,宋　家豪
東北楽天ゴールデンイーグルス,45,菅原　秀
東北楽天ゴールデンイーグルス,47,渡邊　佑樹
東北楽天ゴールデンイーグルス,49,福森　耀真
東北楽天ゴールデンイーグルス,52,津留﨑　大成
東北楽天ゴールデンイーグルス,53,高梨　雄平
東北楽天ゴールデンイーグルス,56,鈴木　翔天
東北楽天ゴールデンイーグルス,57,瀧中　瞭太
東北楽天ゴールデンイーグルス,58,辛島　航
東北楽天ゴールデンイーグルス,59,熊原　健人
東北楽天ゴールデンイーグルス,60,石橋　良太
東北楽天ゴールデンイーグルス,61,佐藤　智輝
東北楽天ゴールデンイーグルス,62,西口　直人
東北楽天ゴールデンイーグルス,63,由規
東北楽天ゴールデンイーグルス,68,寺岡　寛治
東北楽天ゴールデンイーグルス,91,久保　裕也
東北楽天ゴールデンイーグルス,2,太田　光
東北楽天ゴールデンイーグルス,27,岡島　豪郎
東北楽天ゴールデンイーグルス,29,山下　斐紹
東北楽天ゴールデンイーグルス,44,足立　祐一
東北楽天ゴールデンイーグルス,65,堀内　謙伍
東北楽天ゴールデンイーグルス,67,下妻　貴寛
東北楽天ゴールデンイーグルス,70,石原　彪
東北楽天ゴールデンイーグルス,78,水上　桂
東北楽天ゴールデンイーグルス,0,小深田　大翔
東北楽天ゴールデンイーグルス,3,浅村　栄斗
東北楽天ゴールデンイーグルス,5,茂木　栄五郎
東北楽天ゴールデンイーグルス,6,藤田　一也
東北楽天ゴールデンイーグルス,7,鈴木　大地
東北楽天ゴールデンイーグルス,24,黒川　史陽
東北楽天ゴールデンイーグルス,26,渡辺　直人
東北楽天ゴールデンイーグルス,33,銀次
東北楽天ゴールデンイーグルス,34,山﨑　幹史
東北楽天ゴールデンイーグルス,36,内田　靖人
東北楽天ゴールデンイーグルス,40,ウィーラー
東北楽天ゴールデンイーグルス,48,渡邊　佳明
東北楽天ゴールデンイーグルス,66,村林　一輝
東北楽天ゴールデンイーグルス,4,オコエ　瑠偉
東北楽天ゴールデンイーグルス,8,辰己　涼介
東北楽天ゴールデンイーグルス,25,田中　和基
東北楽天ゴールデンイーグルス,35,島内　宏明
東北楽天ゴールデンイーグルス,38,岩見　雅紀
東北楽天ゴールデンイーグルス,46,下水流　昂
東北楽天ゴールデンイーグルス,51,小郷　裕哉
東北楽天ゴールデンイーグルス,54,和田　恋
東北楽天ゴールデンイーグルス,69,ブラッシュ
東北楽天ゴールデンイーグルス,71,武藤　敦貴
東北楽天ゴールデンイーグルス,97,フェルナンド
東北楽天ゴールデンイーグルス,99,ロメロ
東北楽天ゴールデンイーグルス,016,森　雄大
東北楽天ゴールデンイーグルス,017,王　彦程
東北楽天ゴールデンイーグルス,130,池田　隆英
東北楽天ゴールデンイーグルス,131,木村　敏靖
東北楽天ゴールデンイーグルス,135,清宮　虎多朗
東北楽天ゴールデンイーグルス,136,則本　佳樹
東北楽天ゴールデンイーグルス,138,小峯　新陸
東北楽天ゴールデンイーグルス,164,福山　博之
東北楽天ゴールデンイーグルス,137,江川　侑斗
東北楽天ゴールデンイーグルス,008,吉持　亮汰
東北楽天ゴールデンイーグルス,129,南　要輔
東北楽天ゴールデンイーグルス,133,松本　京志郎
東北楽天ゴールデンイーグルス,140,山﨑　真彰
東北楽天ゴールデンイーグルス,141,澤野　聖悠
東北楽天ゴールデンイーグルス,134,中村　和希
東北楽天ゴールデンイーグルス,150,耀飛
千葉ロッテマリーンズ,11,佐々木　千隼
千葉ロッテマリーンズ,12,石川　歩
千葉ロッテマリーンズ,14,大谷　智久
千葉ロッテマリーンズ,15,美馬　学
千葉ロッテマリーンズ,16,種市　篤暉
千葉ロッテマリーンズ,17,佐々木　朗希
千葉ロッテマリーンズ,18,二木　康太
千葉ロッテマリーンズ,19,唐川　侑己
千葉ロッテマリーンズ,20,東條　大樹
千葉ロッテマリーンズ,21,内　竜也
千葉ロッテマリーンズ,24,東妻　勇輔
千葉ロッテマリーンズ,27,山本　大貴
千葉ロッテマリーンズ,28,松永　昂大
千葉ロッテマリーンズ,29,西野　勇士
千葉ロッテマリーンズ,30,石崎　剛
千葉ロッテマリーンズ,33,南　昌輝
千葉ロッテマリーンズ,34,土肥　星也
千葉ロッテマリーンズ,35,渡邉　啓太
千葉ロッテマリーンズ,36,有吉　優樹
千葉ロッテマリーンズ,37,小野　郁
千葉ロッテマリーンズ,41,成田　翔
千葉ロッテマリーンズ,42,ハーマン
千葉ロッテマリーンズ,43,小島　和哉
千葉ロッテマリーンズ,46,岩下　大輝
千葉ロッテマリーンズ,47,田中　靖洋
千葉ロッテマリーンズ,48,中村　稔弥
千葉ロッテマリーンズ,49,チェン・グァンユウ
千葉ロッテマリーンズ,52,益田　直也
千葉ロッテマリーンズ,56,原　嵩
千葉ロッテマリーンズ,58,ジャクソン
千葉ロッテマリーンズ,60,横山　陸人
千葉ロッテマリーンズ,62,永野　将司
千葉ロッテマリーンズ,65,古谷　拓郎
千葉ロッテマリーンズ,69,土居　豪人
千葉ロッテマリーンズ,86,フローレス
千葉ロッテマリーンズ,22,田村　龍弘
千葉ロッテマリーンズ,32,佐藤　都志也
千葉ロッテマリーンズ,39,吉田　裕太
千葉ロッテマリーンズ,45,宗接　唯人
千葉ロッテマリーンズ,53,江村　直也
千葉ロッテマリーンズ,55,細川　亨
千葉ロッテマリーンズ,99,柿沼　友哉
千葉ロッテマリーンズ,00,鳥谷　敬
千葉ロッテマリーンズ,4,藤岡　裕大
千葉ロッテマリーンズ,5,安田　尚憲
千葉ロッテマリーンズ,8,中村　奨吾
千葉ロッテマリーンズ,13,平沢　大河
千葉ロッテマリーンズ,23,三木　亮
千葉ロッテマリーンズ,40,福田　光輝
千葉ロッテマリーンズ,44,井上　晴哉
千葉ロッテマリーンズ,50,松田　進
千葉ロッテマリーンズ,54,レアード
千葉ロッテマリーンズ,57,香月　一也
千葉ロッテマリーンズ,59,細谷　圭
千葉ロッテマリーンズ,67,茶谷　健太
千葉ロッテマリーンズ,68,西巻　賢二
千葉ロッテマリーンズ,0,荻野　貴司
千葉ロッテマリーンズ,1,清田　育宏
千葉ロッテマリーンズ,2,藤原　恭大
千葉ロッテマリーンズ,3,角中　勝也
千葉ロッテマリーンズ,7,福田　秀平
千葉ロッテマリーンズ,10,加藤　翔平
千葉ロッテマリーンズ,25,岡　大海
千葉ロッテマリーンズ,31,菅野　剛士
千葉ロッテマリーンズ,38,髙部　瑛斗
千葉ロッテマリーンズ,51,山口　航輝
千葉ロッテマリーンズ,61,三家　和真
千葉ロッテマリーンズ,79,マーティン
千葉ロッテマリーンズ,120,本前　郁也
千葉ロッテマリーンズ,121,鎌田　光津希
千葉ロッテマリーンズ,123,森　遼大朗
千葉ロッテマリーンズ,126,大嶺　祐太
千葉ロッテマリーンズ,128,アコスタ
千葉ロッテマリーンズ,130,サントス
千葉ロッテマリーンズ,125,植田　将太
千葉ロッテマリーンズ,127,髙濱　卓也
千葉ロッテマリーンズ,122,和田　康士朗
北海道日本ハムファイターズ,1,斎藤　佑樹
北海道日本ハムファイターズ,13,生田目　翼
北海道日本ハムファイターズ,14,加藤　貴之
北海道日本ハムファイターズ,15,上沢　直之
北海道日本ハムファイターズ,16,有原　航平
北海道日本ハムファイターズ,17,浦野　博司
北海道日本ハムファイターズ,18,吉田　輝星
北海道日本ハムファイターズ,19,金子　弌大
北海道日本ハムファイターズ,20,上原　健太
北海道日本ハムファイターズ,25,宮西　尚生
北海道日本ハムファイターズ,27,マルティネス
北海道日本ハムファイターズ,28,河野　竜生
北海道日本ハムファイターズ,29,井口　和朋
北海道日本ハムファイターズ,31,村田　透
北海道日本ハムファイターズ,33,立野　和明
北海道日本ハムファイターズ,34,堀　瑞輝
北海道日本ハムファイターズ,35,西村　天裕
北海道日本ハムファイターズ,36,バーヘイゲン
北海道日本ハムファイターズ,37,柿木　蓮
北海道日本ハムファイターズ,39,秋吉　亮
北海道日本ハムファイターズ,40,福田　俊
北海道日本ハムファイターズ,41,ロドリゲス
北海道日本ハムファイターズ,46,田中　瑛斗
北海道日本ハムファイターズ,47,鈴木　健矢
北海道日本ハムファイターズ,49,公文　克彦
北海道日本ハムファイターズ,50,鈴木　遼太郎
北海道日本ハムファイターズ,51,石川　直也
北海道日本ハムファイターズ,52,宮台　康平
北海道日本ハムファイターズ,54,玉井　大翔
北海道日本ハムファイターズ,56,吉川　光夫
北海道日本ハムファイターズ,57,杉浦　稔大
北海道日本ハムファイターズ,59,吉田　侑樹
北海道日本ハムファイターズ,62,望月　大希
北海道日本ハムファイターズ,63,北浦　竜次
北海道日本ハムファイターズ,10,清水　優心
北海道日本ハムファイターズ,22,鶴岡　慎也
北海道日本ハムファイターズ,30,宇佐見　真吾
北海道日本ハムファイターズ,42,黒羽根　利規
北海道日本ハムファイターズ,60,郡　拓也
北海道日本ハムファイターズ,64,田宮　裕涼
北海道日本ハムファイターズ,65,梅林　優貴
北海道日本ハムファイターズ,68,石川　亮
北海道日本ハムファイターズ,2,杉谷　拳士
北海道日本ハムファイターズ,6,中田　翔
北海道日本ハムファイターズ,9,中島　卓也
北海道日本ハムファイターズ,21,清宮　幸太郎
北海道日本ハムファイターズ,23,渡邉　諒
北海道日本ハムファイターズ,24,野村　佑希
北海道日本ハムファイターズ,32,谷内　亮太
北海道日本ハムファイターズ,38,石井　一成
北海道日本ハムファイターズ,44,ビヤヌエバ
北海道日本ハムファイターズ,45,平沼　翔太
北海道日本ハムファイターズ,48,上野　響平
北海道日本ハムファイターズ,55,難波　侑平
北海道日本ハムファイターズ,58,横尾　俊建
北海道日本ハムファイターズ,70,今井　順之助
北海道日本ハムファイターズ,3,王　柏融
北海道日本ハムファイターズ,4,谷口　雄也
北海道日本ハムファイターズ,5,大田　泰示
北海道日本ハムファイターズ,7,西川　遥輝
北海道日本ハムファイターズ,8,近藤　健介
北海道日本ハムファイターズ,12,松本　剛
北海道日本ハムファイターズ,26,淺間　大基
北海道日本ハムファイターズ,43,白村　明弘
北海道日本ハムファイターズ,61,姫野　優也
北海道日本ハムファイターズ,66,万波　中正
北海道日本ハムファイターズ,67,片岡　奨人
北海道日本ハムファイターズ,113,長谷川　凌汰
北海道日本ハムファイターズ,148,高山　優希
北海道日本ハムファイターズ,112,樋口　龍之介
北海道日本ハムファイターズ,162,髙濱　祐仁
北海道日本ハムファイターズ,111,宮田　輝星
北海道日本ハムファイターズ,144,海老原　一佳
オリックス・バファローズ,11,山﨑　福也
オリックス・バファローズ,13,宮城　大弥
オリックス・バファローズ,14,吉田　一将
オリックス・バファローズ,15,荒西　祐大
オリックス・バファローズ,17,増井　浩俊
オリックス・バファローズ,18,山本　由伸
オリックス・バファローズ,19,山岡　泰輔
オリックス・バファローズ,20,近藤　大亮
オリックス・バファローズ,21,竹安　大知
オリックス・バファローズ,22,村西　良太
オリックス・バファローズ,26,東明　大貴
オリックス・バファローズ,27,アルバース
オリックス・バファローズ,28,富山　凌雅
オリックス・バファローズ,29,田嶋　大樹
オリックス・バファローズ,30,Ｋ－鈴木
オリックス・バファローズ,32,ディクソン
オリックス・バファローズ,35,比嘉　幹貴
オリックス・バファローズ,39,小林　慶祐
オリックス・バファローズ,43,前　佑囲斗
オリックス・バファローズ,46,本田　仁海
オリックス・バファローズ,47,海田　智行
オリックス・バファローズ,48,齋藤　綱記
オリックス・バファローズ,49,澤田　圭佑
オリックス・バファローズ,52,ヒギンス
オリックス・バファローズ,57,山田　修義
オリックス・バファローズ,58,金田　和之
オリックス・バファローズ,60,左澤　優
オリックス・バファローズ,61,榊原　翼
オリックス・バファローズ,65,漆原　大晟
オリックス・バファローズ,66,吉田　凌
オリックス・バファローズ,68,鈴木　優
オリックス・バファローズ,95,神戸　文也
オリックス・バファローズ,98,張　奕
オリックス・バファローズ,23,伏見　寅威
オリックス・バファローズ,33,松井　雅人
オリックス・バファローズ,37,若月　健矢
オリックス・バファローズ,44,頓宮　裕真
オリックス・バファローズ,45,飯田　大祐
オリックス・バファローズ,62,山崎　勝己
オリックス・バファローズ,0,勝俣　翔貴
オリックス・バファローズ,2,白崎　浩之
オリックス・バファローズ,3,安達　了一
オリックス・バファローズ,4,福田　周平
オリックス・バファローズ,5,西野　真弘
オリックス・バファローズ,9,大城　滉二
オリックス・バファローズ,24,紅林　弘太郎
オリックス・バファローズ,31,太田　椋
オリックス・バファローズ,36,山足　達也
オリックス・バファローズ,38,小島　脩平
オリックス・バファローズ,42,ロドリゲス
オリックス・バファローズ,53,宜保　翔
オリックス・バファローズ,64,廣澤　伸哉
オリックス・バファローズ,67,中川　圭太
オリックス・バファローズ,00,西浦　颯大
オリックス・バファローズ,1,モヤ
オリックス・バファローズ,6,宗　佑磨
オリックス・バファローズ,8,後藤　駿太
オリックス・バファローズ,10,ジョーンズ
オリックス・バファローズ,25,西村　凌
オリックス・バファローズ,34,吉田　正尚
オリックス・バファローズ,41,佐野　皓大
オリックス・バファローズ,50,小田　裕也
オリックス・バファローズ,55,Ｔ－岡田
オリックス・バファローズ,56,松井　佑介
オリックス・バファローズ,59,根本　薫
オリックス・バファローズ,99,杉本　裕太郎
オリックス・バファローズ,001,佐藤　一磨
オリックス・バファローズ,002,谷岡　楓太
オリックス・バファローズ,003,中田　惟斗
オリックス・バファローズ,008,松山　真之
オリックス・バファローズ,124,黒木　優太
オリックス・バファローズ,128,東　晃平
オリックス・バファローズ,135,山﨑　颯一郎
オリックス・バファローズ,005,鶴見　凌也
オリックス・バファローズ,123,稲富　宏樹
オリックス・バファローズ,130,フェリペ
オリックス・バファローズ,120,岡﨑　大輔
オリックス・バファローズ,129,比屋根　彰人
オリックス・バファローズ,004,平野　大和
オリックス・バファローズ,006,大下　誠一郎
オリックス・バファローズ,007,佐藤　優悟
